RFID태그,발행일자,일련번호,라인번호,ERP키,시즌,오더차수,생산업체코드,발행장소,발행날짜,발행차수,일련번호
10000000011810100111803230100039, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00039
10000000011810100111803230100040, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00040
10000000011810100111803230100041, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00041
10000000011810100111803230100042, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00042
10000000011810100111803230100043, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00043
10000000011810100111803230100044, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00044
10000000011810100111803230100045, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00045
10000000011810100111803230100046, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00046
10000000011810100111803230100047, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00047
10000000011810100111803230100048, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00048
10000000011810100111803230100049, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00049
10000000011810100111803230100050, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00050
10000000011810100111803230100051, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00051
10000000011810100111803230100052, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00052
10000000011810100111803230100053, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00053
10000000011810100111803230100054, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00054
10000000011810100111803230100055, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00055
10000000011810100111803230100056, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00056
10000000011810100111803230100057, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00057
10000000011810100111803230100058, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00058
10000000011810100111803230100059, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00059
10000000011810100111803230100060, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00060
10000000011810100111803230100061, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00061
10000000011810100111803230100062, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00062
10000000011810100111803230100063, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00063
10000000011810100111803230100064, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00064
10000000011810100111803230100065, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00065
10000000011810100111803230100066, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00066
10000000011810100111803230100067, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00067
10000000011810100111803230100068, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00068
10000000011810100111803230100069, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00069
10000000011810100111803230100070, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00070
10000000011810100111803230100071, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00071
10000000011810100111803230100072, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00072
10000000011810100111803230100073, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00073
10000000011810100111803230100074, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00074
10000000011810100111803230100075, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00075
10000000011810100111803230100076, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00076
10000000011810100111803230100077, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00077
10000000011810100111803230100078, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00078
10000000011810100111803230100079, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00079
10000000011810100111803230100080, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00080
10000000011810100111803230100081, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00081
10000000011810100111803230100082, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00082
10000000011810100111803230100083, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00083
10000000011810100111803230100084, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00084
10000000011810100111803230100085, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00085
10000000011810100111803230100086, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00086
10000000011810100111803230100087, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00087
10000000011810100111803230100088, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00088
10000000011810100111803230100089, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00089
10000000011810100111803230100090, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00090
10000000011810100111803230100091, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00091
10000000011810100111803230100092, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00092
10000000011810100111803230100093, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00093
10000000011810100111803230100094, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00094
10000000011810100111803230100095, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00095
10000000011810100111803230100096, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00096
10000000011810100111803230100097, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00097
10000000011810100111803230100098, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00098
10000000011810100111803230100099, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00099
10000000011810100111803230100100, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00100
